transaction_id,date,time_id,passenger_id,route_id,route_name,bus_id,bus_number,bus_type,fuel_type,capacity,source_stop,destination_stop,boarding_time,age_group,gender,ticket_type,fare_type_id,fare_code,discount_percent,base_fare,actual_fare,concession_flag,zone_source,zone_dest,region_source,region_dest,distance_km,day_of_week,season,holiday_flag,peak_hour_flag,frequency_weekday,frequency_sunday,first_bus,last_bus
7,2024-10-10,284,10007,1,5,2,MH04AV7752,Non-AC,CNG,53,M.S.E.B.Office Bhiwandi,Dongarli,12:41:00,Adult,Female,Daily,8,DAILY,5.0,11.1,10.54,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
8,2024-10-10,284,10008,1,5,2,MH04AV7752,Non-AC,CNG,53,Reliable Plaza,Airoli Naka,12:41:00,Child,Male,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
9,2024-10-10,284,10009,1,5,2,MH04AV7752,Non-AC,CNG,53,Mahagiri Koliwada,Ganpati Pada (Vitava Naka),12:41:00,Senior,Female,Single,3,SENIOR,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
10,2024-10-10,284,10010,1,5,2,MH04AV7752,Non-AC,CNG,53,Saibaba Mandir Bhiwandi Road,Holy Cross School,13:18:00,Student,Male,Monthly,2,STUDENT,25.0,15.37,11.53,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
11,2024-10-10,284,10011,1,5,2,MH04AV7752,Non-AC,CNG,53,Airoli Station,Bharat Bijlee Airoli,13:18:00,Senior,Female,Single,3,SENIOR,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
12,2025-07-20,201,10012,1,5,2,MH04AV7752,Non-AC,CNG,53,Indian Oil Pump (Mankoli),Holy Cross School,14:53:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
13,2025-07-20,201,10013,1,5,2,MH04AV7752,Non-AC,CNG,53,Dadoji Konddev Stadium,Mahagiri Koliwada,14:53:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
14,2025-07-20,201,10014,1,5,1,MH04AE2228,Non-AC,CNG,46,Ovali Gaon Bhiwandi Road,Kharegaon Phata,13:52:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
15,2025-07-20,201,10015,1,5,2,MH04AV7752,Non-AC,CNG,53,Court Naka (Kanhaji Angre Chowk),Ganpati Pada (Vitava Naka),21:05:00,Child,Male,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
16,2025-07-20,201,10016,1,5,2,MH04AV7752,Non-AC,CNG,53,Bharat Bijlee Airoli,Airoli Bus Station,21:05:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
17,2025-07-20,201,10017,1,5,3,MH04UJ5343,Non-AC,CNG,45,M.S.E.B.Office Bhiwandi,Dadoji Kondadev Stadium,19:33:00,Senior,Male,Single,3,SENIOR,50.0,22.77,11.38,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,TRUE,22,37,05:40:00,21:45:00
18,2025-07-20,201,10018,1,5,3,MH04UJ5343,Non-AC,CNG,45,Chendani Koliwada,Vitava Village,19:33:00,Student,Female,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,TRUE,22,37,05:40:00,21:45:00
19,2025-01-03,3,10019,1,5,2,MH04AV7752,Non-AC,CNG,53,Lodha Dham,Indian Oil Pump (Mankoli),15:13:00,Child,Male,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
20,2025-01-03,3,10020,1,5,2,MH04AV7752,Non-AC,CNG,53,Mankoli,Reliable Plaza,15:13:00,Adult,Female,Monthly,6,MONTHLY,15.0,20.49,17.42,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
21,2025-01-03,3,10021,1,5,2,MH04AV7752,Non-AC,CNG,53,Golden Daiej (Majiwada Junction),Mahagiri Koliwada,14:32:00,Student,Male,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
22,2025-01-03,3,10022,1,5,3,MH04UJ5343,Non-AC,CNG,45,Babla Compound,Digha Village,10:14:00,Adult,Male,Monthly,6,MONTHLY,15.0,27.89,23.71,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
23,2025-01-03,3,10023,1,5,3,MH04UJ5343,Non-AC,CNG,45,Airoli Station,Airoli Bus Station,10:14:00,Senior,Female,Single,3,SENIOR,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
24,2025-01-03,3,10024,1,5,3,MH04UJ5343,Non-AC,CNG,45,Ambika Yog Kutir,Castle Mill Chowk,10:14:00,Senior,Male,Return,3,SENIOR,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
25,2025-01-03,3,10025,1,5,3,MH04UJ5343,Non-AC,CNG,45,Majiwada B.M.C Office,Airoli Station,10:14:00,Adult,Female,Single,1,REGULAR,0.0,17.08,17.08,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
26,2025-01-03,3,10026,1,5,3,MH04UJ5343,Non-AC,CNG,45,Mahagiri Koliwada,Thane,22:34:00,Senior,Male,Single,3,SENIOR,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
27,2025-01-03,3,10027,1,5,3,MH04UJ5343,Non-AC,CNG,45,Tahsil Karyalaya Bhiwandi,Toll Plaza Kharegaon,22:34:00,Student,Male,Monthly,2,STUDENT,25.0,13.09,9.82,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
28,2025-01-03,3,10028,1,5,3,MH04UJ5343,Non-AC,CNG,45,Grahak Seva Kendra Kalyan Phata,Babla Compound,22:34:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
29,2025-01-03,3,10029,1,5,3,MH04UJ5343,Non-AC,CNG,45,Court Naka (Kanhaji Angre Chowk),Kalwa Naka,22:34:00,Student,Male,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
30,2025-01-03,3,10030,1,5,3,MH04UJ5343,Non-AC,CNG,45,Airoli Station,Bharat Bijlee Airoli,22:34:00,Student,Male,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
31,2025-01-03,3,10031,1,5,3,MH04UJ5343,Non-AC,CNG,45,Mahagiri Koliwada,M.S.E.B Digha,22:34:00,Adult,Other,Weekly,7,WEEKLY,10.0,11.1,9.99,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
32,2025-01-03,3,10032,1,5,3,MH04UJ5343,Non-AC,CNG,45,Court Naka (Kanhaji Angre Chowk),Airoli Bus Station,22:34:00,Adult,Male,Single,1,REGULAR,0.0,13.09,13.09,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
33,2025-04-12,102,10033,1,5,1,MH04AE2228,Non-AC,CNG,46,Muktai Nagar Majiwada,Court Naka (Kanhaji Angre Chowk),13:19:00,Senior,Male,Return,3,SENIOR,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
34,2025-04-12,102,10034,1,5,1,MH04AE2228,Non-AC,CNG,46,Indian Oil Diva Highway,Rustomjee Azziano,13:19:00,Child,Female,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
35,2025-04-12,102,10035,1,5,1,MH04AE2228,Non-AC,CNG,46,Ganpati Pada (Vitava Naka),Reliable Plaza,13:19:00,Senior,Male,Single,3,SENIOR,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
36,2025-04-12,102,10036,1,5,1,MH04AE2228,Non-AC,CNG,46,Dadoji Konddev Stadium,Reliable Plaza,13:19:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
37,2025-04-12,102,10037,1,5,1,MH04AE2228,Non-AC,CNG,46,Dadoji Kondadev Stadium,Airoli Bus Station,13:19:00,Senior,Female,Return,3,SENIOR,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
38,2025-04-12,102,10038,1,5,1,MH04AE2228,Non-AC,CNG,46,Thane,Mukund Company Bridge,13:19:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
39,2025-04-12,102,10039,1,5,3,MH04UJ5343,Non-AC,CNG,45,Holy Cross School,Chendani Koliwada,12:35:00,Senior,Female,Return,3,SENIOR,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
40,2025-04-12,102,10040,1,5,3,MH04UJ5343,Non-AC,CNG,45,Mankoli,Mahagiri Koliwada,12:35:00,Adult,Female,Return,1,REGULAR,0.0,11.38,22.77,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
41,2025-04-12,102,10041,1,5,3,MH04UJ5343,Non-AC,CNG,45,Chhatrapati Shivaji Maharaj Hospital Kalwa,Airoli Naka,12:35:00,Adult,Female,Return,1,REGULAR,0.0,11.1,22.2,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
42,2025-04-12,102,10042,1,5,3,MH04UJ5343,Non-AC,CNG,45,Police Line,Ganesh Nagar,12:35:00,Student,Female,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
43,2025-04-12,102,10043,1,5,3,MH04UJ5343,Non-AC,CNG,45,Anjur Gaon,Mukund Company Bridge,12:35:00,Student,Male,Weekly,2,STUDENT,25.0,17.08,12.81,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
44,2025-04-12,102,10044,1,5,3,MH04UJ5343,Non-AC,CNG,45,Temghar Pada,Court Naka (Kanhaji Angre Chowk),12:35:00,Student,Male,Weekly,2,STUDENT,25.0,17.65,13.23,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
45,2025-04-12,102,10045,1,5,3,MH04UJ5343,Non-AC,CNG,45,R.T.O Office (Thane),Dadoji Kondadev Stadium,12:35:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
46,2025-04-12,102,10046,1,5,3,MH04UJ5343,Non-AC,CNG,45,Chhatrapati Shivaji Maharaj Hospital Kalwa,Airoli Bus Station,12:35:00,Child,Male,Return,4,CHILD,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
47,2025-04-12,102,10047,1,5,3,MH04UJ5343,Non-AC,CNG,45,Indian Oil Diva Highway,Mukund Company Bridge,12:35:00,Adult,Male,Return,1,REGULAR,0.0,17.65,35.29,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
48,2025-04-12,102,10048,1,5,2,MH04AV7752,Non-AC,CNG,53,Kharegaon Phata,Castle Mill Chowk,12:13:00,Adult,Male,Return,1,REGULAR,0.0,11.1,22.2,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
49,2025-04-12,102,10049,1,5,2,MH04AV7752,Non-AC,CNG,53,Anjur Gaon,Gokul Nagar,12:13:00,Adult,Female,Return,1,REGULAR,0.0,11.1,22.2,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,FALSE,22,37,05:40:00,21:45:00
50,2025-04-12,102,10050,1,5,2,MH04AV7752,Non-AC,CNG,53,Kharegaon Phata,Majiwada B.M.C Office,07:55:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,TRUE,22,37,05:40:00,21:45:00
51,2025-04-12,102,10051,1,5,2,MH04AV7752,Non-AC,CNG,53,Lodha Complex,Minds Space,07:55:00,Adult,Male,Return,1,REGULAR,0.0,17.08,34.15,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,TRUE,22,37,05:40:00,21:45:00
52,2025-04-12,102,10052,1,5,2,MH04AV7752,Non-AC,CNG,53,Tahsil Karyalaya Bhiwandi,Shastrinagar Police Station,07:55:00,Student,Male,Single,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,TRUE,22,37,05:40:00,21:45:00
53,2025-04-12,102,10053,1,5,2,MH04AV7752,Non-AC,CNG,53,Dongarli,Chhatrapati Shivaji Maharaj Hospital Kalwa,07:55:00,Student,Female,Single,2,STUDENT,25.0,19.35,14.52,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,TRUE,22,37,05:40:00,21:45:00
54,2025-04-12,102,10054,1,5,2,MH04AV7752,Non-AC,CNG,53,Airoli Naka,Bharat Bijlee Airoli,07:55:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Saturday,Summer,TRUE,TRUE,22,37,05:40:00,21:45:00
55,2024-09-22,266,10055,1,5,1,MH04AE2228,Non-AC,CNG,46,Nashik Bypass Bharat Petroleum,Lodha Dham,11:38:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
56,2024-09-22,266,10056,1,5,1,MH04AE2228,Non-AC,CNG,46,Nashik Bypass Bharat Petroleum,Golden Daiej (Majiwada Junction),11:38:00,Adult,Male,Single,1,REGULAR,0.0,17.65,17.65,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
57,2024-09-22,266,10057,1,5,1,MH04AE2228,Non-AC,CNG,46,Grahak Seva Kendra Kalyan Phata,M.S.E.B.Office Bhiwandi,11:38:00,Adult,Male,Return,1,REGULAR,0.0,11.1,22.2,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
58,2024-09-22,266,10058,1,5,1,MH04AE2228,Non-AC,CNG,46,Gokul Nagar,Mahagiri Koliwada,11:38:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
59,2024-09-22,266,10059,1,5,1,MH04AE2228,Non-AC,CNG,46,Court Naka (Kanhaji Angre Chowk),Vitava Naka,11:38:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
60,2024-09-22,266,10060,1,5,1,MH04AE2228,Non-AC,CNG,46,Rustomjee Azziano,Mahagiri Koliwada,11:38:00,Adult,Female,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
61,2024-09-22,266,10061,1,5,3,MH04UJ5343,Non-AC,CNG,45,Bhumi World,Dadoji Konddev Stadium,11:14:00,Senior,Female,Single,3,SENIOR,50.0,17.08,8.54,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
62,2024-09-22,266,10062,1,5,3,MH04UJ5343,Non-AC,CNG,45,Nashik Bypass Bharat Petroleum,Gokul Nagar,11:14:00,Adult,Male,Single,1,REGULAR,0.0,18.78,18.78,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
63,2024-09-22,266,10063,1,5,3,MH04UJ5343,Non-AC,CNG,45,Farm House Anjur Gaon,Dadoji Kondadev Stadium,11:14:00,Adult,Other,Single,1,REGULAR,0.0,11.95,11.95,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
64,2024-09-22,266,10064,1,5,3,MH04UJ5343,Non-AC,CNG,45,Saibaba Mandir Bhiwandi Road,Muktai Nagar Majiwada,11:14:00,Child,Male,Single,4,CHILD,50.0,13.09,6.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
65,2024-09-22,266,10065,1,5,3,MH04UJ5343,Non-AC,CNG,45,Dadoji Konddev Stadium,Mukund Company Bridge,11:14:00,Adult,Female,Return,1,REGULAR,0.0,11.1,22.2,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
66,2024-09-22,266,10066,1,5,3,MH04UJ5343,Non-AC,CNG,45,Minds Space,Airoli Bus Station,11:14:00,Student,Female,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Sunday,Monsoon,TRUE,FALSE,22,37,05:40:00,21:45:00
67,2025-06-19,170,10067,1,5,1,MH04AE2228,Non-AC,CNG,46,Dadoji Konddev Stadium,Vitava Village,10:17:00,Student,Female,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
68,2025-06-19,170,10068,1,5,1,MH04AE2228,Non-AC,CNG,46,Dadoji Konddev Stadium,Mukund Company Bridge,10:17:00,Adult,Male,Monthly,6,MONTHLY,15.0,11.1,9.43,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
69,2025-06-19,170,10069,1,5,1,MH04AE2228,Non-AC,CNG,46,Court Naka (Kanhaji Angre Chowk),Mahagiri Koliwada,10:17:00,Adult,Female,Monthly,6,MONTHLY,15.0,11.1,9.43,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
70,2025-06-19,170,10070,1,5,1,MH04AE2228,Non-AC,CNG,46,Cement Plant (Nanak Dhaba),Kharegaon Phata,10:17:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
71,2025-06-19,170,10071,1,5,1,MH04AE2228,Non-AC,CNG,46,Bharat Bijlee Airoli,Airoli Bus Station,10:17:00,Child,Male,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
72,2025-06-19,170,10072,1,5,1,MH04AE2228,Non-AC,CNG,46,Reliable Plaza,Airoli Bus Station,10:17:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
73,2025-06-19,170,10073,1,5,1,MH04AE2228,Non-AC,CNG,46,Lodha Complex,Airoli Bus Station,10:17:00,Child,Male,Single,4,CHILD,50.0,18.78,9.39,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
74,2025-06-19,170,10074,1,5,1,MH04AE2228,Non-AC,CNG,46,Vitava Village,Vitava Naka,10:17:00,Student,Male,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
75,2025-06-19,170,10075,1,5,1,MH04AE2228,Non-AC,CNG,46,Court Naka (Kanhaji Angre Chowk),Ganpati Pada (Vitava Naka),10:17:00,Student,Male,Weekly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
76,2025-06-19,170,10076,1,5,1,MH04AE2228,Non-AC,CNG,46,Najarana Compound,Court Naka (Kanhaji Angre Chowk),10:17:00,Senior,Male,Single,3,SENIOR,50.0,22.77,11.38,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
77,2025-06-19,170,10077,1,5,2,MH04AV7752,Non-AC,CNG,53,Gokul Nagar,Ambika Yog Kutir,10:17:00,Senior,Female,Return,3,SENIOR,50.0,11.1,11.1,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
78,2025-06-19,170,10078,1,5,2,MH04AV7752,Non-AC,CNG,53,Mukund Company Bridge,Digha Village,10:17:00,Student,Male,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Summer,FALSE,FALSE,22,37,05:40:00,21:45:00
79,2024-11-15,320,10079,1,5,1,MH04AE2228,Non-AC,CNG,46,Thane,Reliable Plaza,11:43:00,Adult,Male,Single,1,REGULAR,0.0,11.1,11.1,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Friday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
