Route Number,Source and Destination,Stops
103,Panvel Station (W) ↔ Hindmata Cinema (Dadar),"['Panvel Station (W)', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot Highway', 'Kalamboli Chowk (M.G.M.Hospital)', 'Kalamboli Colony', 'Kamothe Village / K.L.E College', 'Kamothe Phata', 'Taloja Phata', 'Spageti Gharkul', 'Kopra Gaon', 'Hiranandani Highway Kharghar', 'Kharghar Railway Station', 'C.B.D Belapur Highway / Konkan Bhavan', 'Uran Phata', 'S.B.I Colony / Tata Press', 'Dr D.Y Patil Stadium (Nerul)', 'Nerul Naka', 'Shirvane Village', 'Juinagar Station (Herdilla Co.)', 'Sanpada Police Station', 'Turbhe Village', 'Sanpada Highway', 'Maharashtra State Co-Operative Bank', 'Vashi Highway', 'Vashi Village', 'Khadi Pul / Toll Naka', 'Mankhurd Octroi Naka', 'Maharashtra Nagar (Mankhurd)', 'Mankhurd Station (N)', 'Agarwadi (Mankhurd)', 'Raj Kapoor Chowk / Bhabha Hospital', 'Telecom Factory', 'Punjabwadi', 'Deonar Depot', 'R.K Studio', 'Maitri Park', 'Reserve Bank Colony', 'Acharya Udyan / Diamond Garden', 'Acharya Udyan', 'Sandu Wadi', 'Chembur Naka (Swami Vivekanand Chowk)', 'Kumbharwada (Chembur)', 'Umarshi Bappa Chowk (Chembur)', 'Lokshahir Annabhau Sathe Udyan / Suman Nagar', 'Priyadarshini', 'Everard Nagar', 'Highway Apartment', 'Rani Laxmibai Chowk (Sion)', 'Rani Laxmibai Chowk Sion', 'Rani Laxmibai Chowk Sion', 'Lokmanya Tilak Hospital / Sion Hospital Flyover', 'Lokmanya Tilak Hospital (Sion)', 'Gandhi Market Matunga', 'Matunga Police Station', 'Maheshwari Udyan (Kings Circle)', 'Maheshwari Udyan (Kings Circle)', 'Kapole Niwas / J.N. Verma Chowk', 'Ruia College', 'Ruia College', 'Khodadad Circle (Dadar T.T.)', 'Khodadad Circle (Dadar T.T.)', 'Dadar Post Office', 'Chitra Cinema', 'Shinde Wadi', 'Hindmata Cinema (Dadar)']"
84ac,Vashi Railway Station ↔ Turbhe Depot,"['Vashi Railway Station', 'Y B Chavan Marg Junction / Center One', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'I.C.L School (Vashi)', 'Turbhe Bridge', 'Turbhe Depot']"
11,Vashi Station ↔ Thane,"['Vashi Station', 'Center One Mall (Vashi)', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'Mafco Market Sanpada', 'Sanpada Station', 'Sanpada Highway', 'Turbhe Village', 'Turbhe Naka (Flyover End)', 'Turbhe Naka', 'Dambar Plant', 'Lubrizol Company | Indiranagar', 'Indira Nagar', 'Bagade Engineers', 'Sunravi Printers', 'Shalimar', 'Hayko', 'Krishna Steel', 'Pawan Industries', 'Ramnath Solar', 'Nelco Mahape', 'Mahape Gaon', 'Mahape Junction', 'Sarovar Hotel / Mahape Junction', 'Sarovar Hotel/Mahanagar Gas', 'Hardiliya Company / Koramandal', 'Gavli Dev', 'Alfa Laval', 'Sai Prasad Hotel', 'Golden Garage', 'Anthony Garage', 'Shyamvik Glass Factory', 'Bhim Nagar', 'Rabale Naka', 'Rabale Police Station', 'Siemens Company', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village', 'Ganesh Nagar', 'Mukund Company Bridge', 'Ganpati Pada (Vitava Naka)', 'Vitava Naka', 'Vitava Village', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane']"
50,Ghansoli Depot ↔ N.M.M.C Head Office Belapur (Kille Gaon),"['Ghansoli Depot', 'Atlantis Society', 'Cloud 36 Society', 'Megh Malhar Society', 'Bhoomi Oscar Chowk', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Ghansoli Depot)', 'Ghansoli Gharonda (Towards Vashi)', 'Rajiv Gandhi College', 'Siddheshwar Society / Gharonda', 'Panchavati', 'Ghansoli Railway Station (W)', 'Ghansoli Dargah', 'Terna College (Pool)', 'Terna Engineering College', 'Kopar Khairane Sector 2/20', 'Ranjan Devi Chowk', 'Koparkhairane Bus Station', 'Koparkhairane Sector 7/15 (Shubham Palace)', 'R.F Naik School', 'Bonkode Village / Kalash Udyan', 'O.E.S International School (Mega Mart)', 'Kopri Naka Sector 29', 'Juhu Village Sector 14', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Vashi Sector 10/15', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 9/16', 'Vashi Bus Station', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'I.C.L School (Vashi)', 'Turbhe Naka (Janta Market)', 'Sanpada Police Station', 'Juinagar Station (Herdilla Co.)', 'Shirvane Village', 'Nerul Naka', 'Dr D.Y Patil Stadium (Nerul)', 'S.B.I Colony / Tata Press', 'Uran Phata', 'Uran Phata', 'Ekta Vihar / Ryan International School', 'Nilgiri Garden', 'Parsik Hill Phata', 'Income Tax Colony', 'Belapur West', 'N.M.M.C Head Office Belapur (Kille Gaon)']"
47,C.B.D.Belapur Bus Station ↔ Badlapur,"['C.B.D.Belapur Bus Station', 'C.B.D.Fire Brigde Station', 'C.B.D Belapur Highway / Konkan Bhavan', 'Uran Phata', 'S.B.I Colony / Tata Press', 'Dr D.Y Patil Stadium (Nerul)', 'Nerul Naka', 'Shirvane Village', 'Juinagar Station (Herdilla Co.)', 'Sanpada Police Station', 'Turbhe Naka (Janta Market)', 'Turbhe Naka', 'Dambar Plant', 'Indira Nagar', 'Bagade Engineers', 'Sunravi Printers', 'Shalimar', 'Hayko', 'Krishna Steel', 'Pawan Industries', 'Ramnath Solar', 'Nelco Mahape', 'Mahape Gaon', 'Mahape Junction', 'Lipi Computers', 'L&T Company Mahape', 'Bajrang Hotel', 'Khadichi Machine', 'Cidco Water Supply', 'Punjab Puja Hotel', 'Shil Nursery', 'Shil Phata Mahape Road', 'Kalyan Phata Daighar', 'Kalyan Phata (Datta Mandir)', 'Chintamani Hotel / Jain Mandir', 'Mhatrewadi / Patilwadi', 'Padale Gaon', 'Khidkali Mandir', 'Khidkali', 'Lodha Complex', 'Katai Gaon', 'Badlapur Junction', 'Kole Village', 'Hedutane Pada / Samadhan Hotel', 'Hedutane', 'Hira Nagar', 'Umbharli Gaon', 'Kumbharli Phata', 'Khoni Gaon', 'Usatane Phata', 'Nevali Naka / Pipe Line', 'Nevali Gaon', 'Dadar Village', 'Shanti Prakash Ashram', 'Pale Village', 'Rangoli Hotel / Vurdhashram', 'Anand Nagar', 'Pritam Hotel', 'Morivali Mhada Colony', 'Pipe Line Junction', 'N.M.R.L.', 'Chikhloli Village', 'Camel Convent High School', 'Sunbath Hotel', 'Belavali Petrol Pump', 'Ganesh Ghat', 'Katrap Gaon', 'Swami Samarth Nagar', 'Badlapur Bridge', 'Badlapur Railway Station', 'Gandhi Chowk', 'Shivaji Maharaj Chowk / Apate Wadi', 'Veer Savarkar Chowk', 'Badlapur']"
106,World Trade Centre ↔ Panvel Station (W),"['World Trade Centre', 'Maker Tower', 'Gd Somani School', 'Hotel President (Cuffe Parade)', 'Cuffe Parade Machhimar Nagar', 'Badhwar Park Machhimar Nagar', 'Veej Bhavan / Electric House', 'Yashwantrao Chavan Pratishthan', 'Mantralaya', 'Mantralaya / L.I.C', 'Mantralaya', 'Mantralaya (Golden Gate)', 'Dr.Shyamaprasad Mukherjee Chowk (Museum)', 'Dr.Shyamaprasad Mukherjee Chowk (Museum)', 'Hutatma Chowk / Mumbai University', 'Hutatma Chowk', 'Khadi Bhandar', 'Chhatrapati Shivaji Maharaj Terminus (C.S.M.T.)', 'Chhatrapati Shivaji Maharaj Terminus (G.P.O.)', 'Chhatrapati Shivaji Maharaj Terminus', 'Railway Accident Court', 'Fire Brigade (P.D Mello Road)', 'Carnac Bunder', 'Loha Bhavan', 'Princess Dock', 'Wadi Bunder', 'Shantinagar (Wadala)', 'Adarsh High School (Anik)', 'Deonar Depot', 'Punjabwadi', 'Telecom Factory', 'Raj Kapoor Chowk / Bhabha Hospital', 'Agarwadi (Mankhurd)', 'Mankhurd Station (N)', 'Maharashtra Nagar (Mankhurd)', 'Mankhurd Octroi Naka', 'Khadi Pul / Toll Naka', 'Vashi Village', 'Vashi Highway', 'Maharashtra State Co-Operative Bank', 'Sanpada Station', 'Sanpada Highway', 'Turbhe Village', 'Sanpada Police Station', 'Juinagar Station (Herdilla Co.)', 'Shirvane Village', 'Nerul Naka', 'Dr D.Y Patil Stadium (Nerul)', 'S.B.I Colony / Tata Press', 'Uran Phata', 'C.B.D Belapur Highway / Konkan Bhavan', 'Kharghar Railway Station / Belpada Gaon', 'Hiranandani Highway Kharghar', 'Kopra Gaon', 'Spageti Gharkul', 'Taloja Phata', 'Kamothe Phata', 'Kamothe Village / K.L.E College', 'Kalamboli Colony', 'Kalamboli Chowk (M.G.M.Hospital)', 'Asudgaon Depot Highway', 'Khanda Gaon Netrajyot Hospital', 'Khanda Gaon Colony', 'Thane Naka / Garden Hotel', 'Amardham / C.K.T College', 'New Panvel Bridge', 'Orion Mall Panvel', 'Panvel Bus Station / Shivajinagar', 'Panvel Station (W)']"
59,Usarli Khurd (Nilkanth Vishwa Complex) ↔ Khandeshwar Railway Station,"['Usarli Khurd (Nilkanth Vishwa Complex)', 'Gaondevi Mandir Chowk Usarli Khurd', 'Nimbeshwar Society', 'Gurukul Society', 'Vichumbe Gaon', 'Vichumbe Pul', 'D.D.Visapute College', 'Ashok Apartment (Sector-15)', 'Panvel Railway Station (E)', 'Abhyudaya Bank Panvel', 'Bhatiya School', 'Kalimata Mandir (Sector-13)', 'Ayyappa Mandir Panvel', 'Terna Chowk', 'Sukapur Circle', 'Shivam Arcade (Sector-8)', 'Adai Sector-9 (Lake View)', 'Adai Phata / Suryadarshan Society', 'Adai Co.Op.Housing Society', 'Over Bridge Panvel', 'Sector 8 Petrol Pump', 'Khanda Colony Signal', 'Income Tax Office (Khanda Colony)', 'Motha Khanda Gaon', 'Khandeshwar Railway Station']"
83,Thane ↔ Airoli Bus Station,"['Thane', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Patni Company Airoli', 'Mindspace (Capgemini)', 'Axis Bank', 'Neva Garden', 'Smashan Bhumi Airoli', 'Airoli Sector 20', 'Sector 19 Airoli', 'Ojas Apartment', 'Gaondevi Maidan / Airoli Gaon', 'Datta Meghe College', 'P C Society Madhavi Road', 'Motiram Shankar Patekar Chowk', 'Parsik Bank', 'Modi Hospital', 'Airoli Station (W)', 'Airoli Bus Station']"
60,Vashi Bus Station ↔ Kalyan Bail Bazar Chowk,"['Vashi Bus Station', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'Mafco Market Sanpada', 'Sanpada Station', 'Sanpada Highway', 'Turbhe Village', 'Turbhe Naka (Flyover End)', 'Turbhe Naka', 'Dambar Plant', 'Lubrizol Company | Indiranagar', 'Indira Nagar', 'Bagade Engineers', 'Sunravi Printers', 'Shalimar', 'Hayko', 'Krishna Steel', 'Pawan Industries', 'Ramnath Solar', 'Nelco Mahape', 'Mahape Gaon', 'Mahape Junction', 'Lipi Computers', 'L&T Company Mahape', 'Adavali Bhutawali', 'Bajrang Hotel', 'Khadichi Machine', 'Cidco Water Supply', 'Punjab Puja Hotel', 'Shil Nursery', 'Shil Phata Mahape Road', 'Kalyan Phata (Dahisar Gaon)', 'Kalyan Phata (Datta Mandir)', 'Chintamani Hotel / Jain Mandir', 'Mhatrewadi / Patilwadi', 'Padale Gaon (Main Road)', 'Khidkali Mandir', 'Khidkali', 'Lodha Complex', 'Katai Gaon', 'Badlapur Junction', 'Pipeline Kole Gaon', 'Premier Company', 'Manpada Gaon', 'Mangaon', 'Pimpleshwar Temple', 'Sonarpada', 'Chaughule Vidyalay / G.R. Patil College', 'Dombivali Nagari Sahakari Bank', 'Nekni Pada', 'Dawadi Naka', 'Vicco Naka', 'Goalavali Gaon', 'Pandurang Wadi', 'Monark', 'Tata Power / Tisavali Naka', 'Suchak Naka', 'Netvali', 'Metro Mall Junction', 'Patri Pul Kalyan', 'Raheja Complex Phool Market', 'Kalyan Bail Bazar Chowk']"
27,Thane ↔ CBD Belapur Bus Station,"['Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village', 'M.S.E.B Digha', 'Reliable Plaza', 'Airoli Naka', 'Minds Space', 'Airoli Station', 'Bharat Bijlee Airoli', 'Siemens Company', 'Rabale Police Station', 'Rabale Naka', 'Rabale Station', 'Gothivali Village / Telephone Exchange', 'Talavali Naka / Nocil Company', 'Ghansoli Naka', 'Standard Alkali Company', 'Ghansoli Station', 'Mahape Naka', 'Dhirubhai Ambani Knowledge City', 'Koparkhirane Station', 'Khairane Village', 'Reliance Silicon Khairane M.I.D.C', 'Pawane Village', 'Savita Chemicals', 'Turbhe Stores', 'Turbhe Naka (Janta Market)', 'Sanpada Police Station', 'Juinagar Station (Herdilla Co.)', 'Shirvane Village', 'Dr DY Patil College (Nerul L.P)', 'Chhatrapati Shivaji Maharaj Chowk (Nerul)', 'S.I.E.S College (Nerul)', 'Bank Of Maharashtra (Nerul)', 'Bhavani Chowk Nerul', 'Nerul Sector 15', 'Datta Mandir Nerul (E)', 'Nerul Railway Station (E)', 'Dakshata Society', 'Nerul Police Station', 'Sterling College Darave', 'Air India Colony', 'Income Tax Colony', 'Belapur West', 'Bramha House', 'Sai Sangam Society', 'Diwale Village', 'Agarwal Trade Centre', 'Central Bank | Belapur Station', 'Raigad Bhavan', 'Belapur Station', 'Police Commissioner Office | CBD Belapur', 'Police Vasahat', 'Gavaskar Ground / Sector 1/2', 'CBD Sector 3', 'CBD Belapur Bus Station']"
17,Nerul Station (E) ↔ Bamandongri Station (E),"['Nerul Station (E)', 'Nerul Railway Station (E)', 'Dakshata Society', 'Nerul Police Station', 'Sterling College Darave', 'Air India Colony', 'Income Tax Colony', 'Belapur West', 'Kille Village', 'Kille Village Bridge', 'Reti Bunder Ulwe', 'Targhar / Kombadbhuje', 'Motha Ulwa Village', 'Morave Phata', 'Vahal', 'Vahal Sai Mandir', 'Shagun Reality Chowk / Fire Brigade Center', 'Anand Astha Society Sector 19', 'Bamandongri Station (E)']"
58,Khopoli ↔ Turbhe Depot,"['Khopoli', 'Union Bank', 'Mogalwadi', 'Goodluck', 'Alta Reborratories', 'Bhairavi Mangal Karyalaya', 'Khopoli S.T.Stand', 'Chinchavali Phata', 'Shedavali Gaon', 'Hal Gaon', 'Hal Khurd Gaon', 'Mahad Phata', 'Bhagyashree Hotel', 'Ghodivali Phata', 'Khalapur Phata', 'Khalapur', 'Madhav Baug', 'Hotel Rinky (Petrol Pump)', 'Kalote Gaon', 'Poonam Garden', 'Vinhegaon', 'Padmavati Petrol Pump (Kamal Hotel)', 'Vavandhal (Koyna Residency)', 'Vavandhalwadi', 'Karjat Phata', 'Chowk City', 'Chowk Railway Station', 'Chowk Naka', 'Nadal', 'Varosewadi', 'Lodhivali', 'Dand Phata', 'M.J.P.Office', 'Bhokarpada', 'Samtanagar (Barvai Gaon)', 'Bavrai Gaon', 'Poyanje / Khanavale Phata', 'Thobrewadi (Godrej City)', 'Bhingarwadi', 'Shedung', 'Anjivali', 'Raigad Petrol Pump Ajivali', 'Kon Gaon', 'Chikhale Gaon', 'Derivali', 'Kolkhe Gaon', 'Hotel Rahul Park', 'Palaspe Phata', 'O.N.G.C.Kalundre', 'Bhingari', 'Panchmukhi Hanuman Mandir', 'National Residency', 'Takka Gaon Chowk', 'Panvel Station Chowk', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot Highway', 'Kalamboli Chowk (M.G.M.Hospital)', 'Kalamboli Colony', 'Kamothe Village / K.L.E College', 'Kamothe Phata', 'Taloja Phata', 'Spageti Gharkul', 'Kopra Gaon', 'Hiranandani Highway Kharghar', 'Kharghar Railway Station', 'Konkan Bhavan', 'Belapur Railway Station', 'Konkan Bhavan', 'C.B.D Belapur Highway / Konkan Bhavan', 'Uran Phata', 'S.B.I Colony / Tata Press', 'Dr D.Y Patil Stadium (Nerul)', 'Nerul Naka', 'Shirvane Village', 'Juinagar Station (Herdilla Co.)', 'Sanpada Police Station', 'Turbhe Village', 'Sanpada Highway', 'Sanpada Station', 'Maharashtra State Co-Operative Bank', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'I.C.L School (Vashi)', 'Turbhe Bridge', 'Turbhe Depot']"
46,Badlapur ↔ Turbhe Depot,"['Badlapur', 'Ghorpade Chowk', 'Katrap Gaon', 'Ganesh Ghat', 'Belavali Petrol Pump', 'Hotel Sun & Sand', 'Camel Convent High School', 'Chikhloli Gaon', 'N.M.R.L.', 'Power Section', 'Pipe Line Junction', 'Morivali Mhada Colony', 'Pritam Hotel', 'Anand Nagar', 'Rangoli Hotel / Vurdhashram', 'Pale Village', 'Shanti Prakash Ashram', 'Dadar Village', 'Nevali Gaon', 'Nevali Naka / Pipe Line', 'Usatane Phata', 'Khoni Gaon', 'Kumbharli Phata', 'Umbharli Gaon', 'Hira Nagar', 'Hedutane', 'Hedutane Pada / Samadhan Hotel', 'Kole Village', 'Katai Junction / Naka', 'Katai Gaon', 'Lodha Complex', 'Khidkali', 'Khidkali Mandir', 'Padale Gaon (Main Road)', 'Mhatrewadi / Patilwadi', 'Chintamani Hotel / Jain Mandir', 'Kalyan Phata (Datta Mandir)', 'Kalyan Phata (Dahisar Gaon)', 'Shil Phata Mahape Road', 'Shil Nursery', 'Punjab Puja Hotel', 'Cidco Water Supply', 'Khadichi Machine', 'Bajrang Hotel', 'Adavali Bhutawali', 'L&T Company Mahape', 'Lipi Computers', 'Mahape Junction', 'Mahape Gaon', 'Nelco', 'Ramnath Solar', 'Pavan Industries', 'Krishna Steel', 'Hayko', 'Shalimar', 'Sunravi Printers', 'Bagade Engineers', 'Indira Nagar', 'Dambar Plant', 'Turbhe Naka', 'Turbhe Naka (Janta Market)', 'Turbhe Bridge', 'Turbhe Depot']"
109,Nahur Station (E) ↔ Digha Village,"['Nahur Station (E)', 'Bhandup Village Junction', 'Cantiener Corporation Of India', 'Bhandup Pumping Station (Link Road)', 'Airoli Toll Naka (Mulund-E)', 'Airoli Sector 10 (Dr.Babasaheb Ambedkar Bhavan)', 'Airoli Sector 16', 'Airoli Sector 17', 'Abhyudaya Bank Airoli', 'Sewage Treatment Plant Airoli', 'J.V.M College Airoli', 'N.H.P School', 'Swastik Vrindavan Society Sector 19', 'Airoli Sector 20', 'Smashan Bhumi Airoli', 'Neva Garden', 'Axis Bank', 'Mindspace (Capgemini)', 'Patni Company Airoli', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village']"
49,Karjat S.T.Stand ↔ Asudgaon Depot,"['Karjat S.T.Stand', 'Swargiya Rajendra Gholap Chowk Karjat', 'Karjat Railway Station', 'Vision Glory Society Karjat', 'Char Rasta Karjat', 'Shivputra Udyog Karjat', 'Khind', 'Bhisegaon', 'Hal Phata', 'Khairat', 'Pali', 'Vavarle', 'Borgaon', 'Vadvihir', 'Indraprastha / Thakur Estate', 'Bhilvale Gaon', 'Morbe Vasahat', 'N.D.Studio / Adivasi Pada', 'Karjat Phata', 'Chowk City', 'Chowk Railway Station', 'Chowk Naka', 'Nadal', 'Varosewadi', 'Lodhivali', 'Dand Phata', 'M.J.P.Office', 'Bhokarpada', 'Samtanagar (Barvai Gaon)', 'Bavrai Gaon', 'Poyanje / Khanavale Phata', 'Thobrewadi (Godrej City)', 'Bhingarwadi', 'Shedung', 'Anjivali', 'Kon Gaon', 'Chikhale Gaon', 'Derivali', 'Kolkhe Gaon', 'Hotel Rahul Park', 'Palaspe Phata', 'O.N.G.C.Kalundre', 'Bhingari', 'Panchmukhi Hanuman Mandir', 'National Residency', 'Takka Gaon Chowk', 'Panvel Station Chowk', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot']"
7,Vashi Station ↔ Thane,"['Vashi Station', 'Center One Mall (Vashi)', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Vashi Sector 9/16', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 10/15', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Juhu Village Sector 14', 'Vashi Sector 29', 'Mega Mart / O.E.S International School', 'Bonkode Village / Kalash Udyan', 'R.F Naik School', 'Koparkhairane Sector 7/15 (Shubham Palace)', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Helan Kelar Institute', 'MBP Mahape', 'MBP Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Mahape Naka', 'Ghansoli Station', 'Standard Alkali Company', 'Ghansoli Naka', 'Talavali Naka / Nocil Company', 'Gothivali Village / Telephone Exchange', 'Rabale Station', 'Rabale Naka', 'Rabale Police Station', 'Siemens Company', 'Airoli Bus Station', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village', 'Ganesh Nagar', 'Mukund Company Bridge', 'Ganpati Pada (Vitava Naka)', 'Vitava Naka', 'Vitava Village', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane']"
43,Taloja Phase 2 ↔ Kharghar Station,"['Taloja Phase 2', 'Shirke Colony Taloja', 'Shirke Colony Taloja', 'Bilad Hillmark Heights', 'Metro Bridge Taloja', 'Ramdev Homes Taloja', 'S.M.Corner Taloja', 'Sai Shraddha Developers Pethali', 'Pethali Gaon (Taloja Phase 1)', 'Kamdhenu Society', 'Narayan Residency', 'Panchanand Heights', 'Royal Residency / Midland', 'Railway Crossing Taloja', 'Taloja Highway', 'Taloja Gaon | RAF Camp', 'Papadicha Pada', 'Bageshree Apartment Sector 40', 'Sector 27 Kharghar', 'Divya Residency', 'L.M.Hostel', 'Sanjivani School', 'Balaji Residency', 'Kharghar Multispeciality Hospital', 'D-Mart Gharkul', 'D Mart Gharkul', 'Gharkul Corner', 'Nagari Arogya Kendra Kharghar', 'Kendriya Vihar Sector No.12 / Navrang Hotel', 'Kendriya Vihar', 'Canara Bank', 'Bal Bharati Vidyalaya', 'Yerla Arogya Kendra', 'Belpada Gaon', 'Kharghar Subway', 'Kharghar Station']"
26,Thane ↔ C.B.D.Belapur Bus Station,"['Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Mukund Company Bridge', 'Ganesh Nagar', 'Digha Village', 'M.S.E.B Digha', 'Reliable Plaza', 'Airoli Naka', 'Minds Space', 'Airoli Station', 'Bharat Bijlee Airoli', 'Airoli Bus Station', 'Siemens Company', 'Rabale Police Station', 'Rabale Naka', 'Rabale Station', 'Gothivali Village / Telephone Exchange', 'Talavali Naka / Nocil Company', 'Ghansoli Naka', 'Standard Alkali Company', 'Ghansoli Station', 'Mahape Naka', 'Dhirubhai Ambani Knowledge City', 'Koparkhirane Station', 'Khairane Village', 'Reliance Silicon Khairane M.I.D.C', 'Pawane Village', 'Savita Chemicals', 'Turbhe Stores', 'Turbhe Naka (Janta Market)', 'Sanpada Police Station', 'Juinagar Station (Herdilla Co.)', 'Shirvane Village', 'Nerul Naka', 'Dr D.Y Patil Stadium (Nerul)', 'S.B.I Colony / Tata Press', 'Uran Phata', 'Uran Phata', 'Ekta Vihar / Ryan International School', 'Nilgiri Garden', 'Parsik Hill Phata', 'Income Tax Colony', 'Belapur West', 'Bramha House', 'Sai Sangam Society', 'Diwale Village', 'Belapur Station / Central Bank', 'Raigad Bhavan', 'Belapur Railway Station', 'Konkan Bhavan', 'C.B.D.Fire Brigade Station', 'C.B.D.Belapur Bus Station']"
12,Vashi Station ↔ Thane,"['Vashi Station', 'Center One Mall (Vashi)', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Vashi Sector 9/16', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 10/15', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Juhu Village Sector 14', 'Vashi Sector 29', 'Mega Mart / O.E.S International School', 'Bonkode Village / Kalash Udyan', 'R.F Naik School', 'Koparkhairane Sector 7/15 (Shubham Palace)', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Helan Kelar Institute', 'MBP Mahape', 'Sarovar Hotel / Mahape Junction', 'Sarovar Hotel/Mahanagar Gas', 'Hardiliya Company / Koramandal', 'Gavli Dev', 'Alfa Laval', 'Sai Prasad Hotel', 'Golden Garage', 'Anthony Garage', 'Shyamvik Glass Factory', 'Bhim Nagar', 'Rabale Naka', 'Rabale Police Station', 'Siemens Company', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village', 'Ganesh Nagar', 'Mukund Company Bridge', 'Ganpati Pada (Vitava Naka)', 'Vitava Naka', 'Vitava Village', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane']"
